Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
7055,1258.00000000000,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,7055,2055,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,Conifer,639,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236,252,204,0.92549000000,0.98823500000,0.80000000000
7056,3009.00000000000,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,7056,2056,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,Conifer,639,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236,252,204,0.92549000000,0.98823500000,0.80000000000
7060,708.00000000000,East Cascades Ponderosa Pine Forest and Woodland,7060,2060,Tr East Cascades Ponderosa Pine Forest and Woodland,Tree,Conifer,610,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.83921600000,1.00000000000,0.70980400000
7062,5.00000000000,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,7062,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,Conifer,628,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Evergreen open tree canopy,155,235,216,0.60784300000,0.92156900000,0.84705900000
7063,8402.00000000000,North Pacific Broadleaf Landslide Forest,7063,2063,Tr North Pacific Broadleaf Landslide Forest and Shrubland,Tree,Hardwood,632,Red Alder Forest and Woodland,SAF 221: Red Alder,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,146,232,215,0.57254900000,0.90980400000,0.84313700000
7065,2159.00000000000,Columbia Plateau Scabland Shrubland,7065,2065,Sh Columbia Plateau Scabland Shrubland,Shrub,Shrubland,613,Desert Scrub,SRM 106: Bluegrass Scabland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,199,176,129,0.78039200000,0.69019600000,0.50588200000
7068,429.00000000000,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,7068,2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,Shrubland,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,181,156,114,0.70980400000,0.61176500000,0.44705900000
7069,47.00000000000,North Pacific Dry and Mesic Alpine Fell-field or Meadow,7068,2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Herb,Grassland,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,181,156,114,0.70980400000,0.61176500000,0.44705900000
7080,6422.00000000000,Inter-Mountain Basins Big Sagebrush Shrubland,7080,2080,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,Shrubland,604,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland,130,101,72,0.50980400000,0.39607800000,0.28235300000
7083,113.00000000000,North Pacific Avalanche Chute Shrubland,7083,2083,Sh North Pacific Avalanche Chute Shrubland,Shrub,Shrubland,612,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
7084,2809.00000000000,North Pacific Montane Shrubland,7084,2084,Sh North Pacific Montane Shrubland,Shrub,Shrubland,612,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
7106,4362.00000000000,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,7106,2106,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,Shrubland,612,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,117,87,61,0.45882400000,0.34117600000,0.23921600000
7120,34.00000000000,Willamette Valley Upland Prairie,7120,2120,Tr Willamette Valley Upland Prairie and Savanna,Herb,Grassland,629,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,203,255,171,0.79607800000,1.00000000000,0.67058800000
7123,8081.00000000000,Columbia Plateau Steppe and Grassland,7123,2123,He Columbia Plateau Steppe and Grassland,Herb,Grassland,618,Grassland and Steppe,SRM 106: Bluegrass Scabland,Herbaceous / Nonvascular-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,199,176,129,0.78039200000,0.69019600000,0.50588200000
7124,14.00000000000,Columbia Plateau Low Sagebrush Steppe,7124,2124,Sh Columbia Plateau Low Sagebrush Steppe,Shrub,Shrubland,623,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,135,106,76,0.52941200000,0.41568600000,0.29803900000
7125,4189.00000000000,Inter-Mountain Basins Big Sagebrush Steppe,7125,2125,Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,Shrubland,604,Big Sagebrush Shrubland and Steppe,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,230,151,41,0.90196100000,0.59215700000,0.16078400000
7126,410.00000000000,Inter-Mountain Basins Montane Sagebrush Steppe,7126,2126,Sh Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,Shrubland,604,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,219,140,37,0.85882400000,0.54902000000,0.14509800000
7127,174.00000000000,Inter-Mountain Basins Semi-Desert Shrub-Steppe,7127,2127,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,Shrubland,613,Desert Scrub,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,130,101,72,0.50980400000,0.39607800000,0.28235300000
7134,4741.00000000000,Columbia Basin Foothill and Canyon Dry Grassland,7134,2134,He Columbia Basin Foothill and Canyon Dry Grassland,Herb,Grassland,617,Grassland,SRM 101: Bluebunch Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,226,130,1.00000000000,0.88627500000,0.50980400000
7138,3.00000000000,North Pacific Montane Grassland,7138,2138,He North Pacific Montane Grassland,Herb,Grassland,617,Grassland,SRM 102: Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,198,107,1.00000000000,0.77647100000,0.41960800000
7139,2941.00000000000,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,7139,2139,He Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Herb,Grassland,617,Grassland,SRM 311: Rough Fescue-Bluebunch Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,191,102,1.00000000000,0.74902000000,0.40000000000
7140,52.00000000000,Northern Rocky Mountain Subalpine-Upper Montane Grassland,7140,2140,He Northern Rocky Mountain Subalpine-Upper Montane Grassland,Herb,Grassland,617,Grassland,SRM 312: Rough Fescue-Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,184,97,1.00000000000,0.72156900000,0.38039200000
7142,118.00000000000,Columbia Basin Palouse Prairie,7142,2142,He Columbia Basin Palouse Prairie,Herb,Grassland,617,Grassland,SRM 102: Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,198,107,1.00000000000,0.77647100000,0.41960800000
7145,106.00000000000,Rocky Mountain Subalpine-Montane Mesic Meadow,7145,2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,Herb,Grassland,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 409: Tall Forb,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,163,82,1.00000000000,0.63921600000,0.32156900000
