id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,sqft_est,energy_mwh_yr_mid,water_gal_yr_mid
694602725,Washington,WA,53,Grant County,25,,,Vantage WA12,124695.0,-119.81372107907391,47.25394644110428,building,124695.0,131079.384,62329505.4540864
700001774,Washington,WA,53,Grant County,25,Microsoft,,Microsoft MWH Data Center,8381014.0,-119.88771018102906,47.23776925865819,campus,8381014.0,8810121.9168,4189297548.6088014
807374322,Washington,WA,53,Grant County,25,,,,216848.0,-119.8951561143571,47.23709780537748,building,216848.0,227950.6176,108392706.99472897
813688319,Washington,WA,53,Douglas County,17,,,,102013.0,-120.2139654565477,47.40724312100206,building,102013.0,107236.0656,50991778.65902977
813688320,Washington,WA,53,Douglas County,17,Actapio,,Actapio,362519.0,-120.21413428085418,47.40741705535317,campus,362519.0,381079.9728,181207185.43413892
814061068,Washington,WA,53,Douglas County,17,,,,13946.0,-120.21746237329,47.39214942683649,building,13946.0,14660.0352,6970987.473937921
814061069,Washington,WA,53,Douglas County,17,,,,4004.0,-120.21787734999982,47.39179410004563,building,4004.0,4209.0048,2001422.18884608
814061070,Washington,WA,53,Douglas County,17,,,,4003.0,-120.2175143749647,47.391756904098365,building,4003.0,4207.9536,2000922.33315456
814061071,Washington,WA,53,Douglas County,17,,,,7706.0,-120.2169013334627,47.39175897510766,building,7706.0,8100.5472,3851887.9588531204
842544718,Washington,WA,53,Snohomish County,61,Unity Cable System,,Norma Beach Cable Landing Station,2369.0,-122.28415777716296,47.86469753279464,building,2369.0,2490.2928,1184158.1332108804
876020641,Washington,WA,53,Spokane County,63,,,Iron Mountain,14085.0,-117.53714762552474,47.59461614024328,building,14085.0,14806.152,7040467.4150592005
943987942,Washington,WA,53,Thurston County,67,,,Wave Broadband Tahoma Terra Facility,9139.0,-122.62504386293934,46.94142447057516,campus,9139.0,9606.9168,4568181.164801281
1071772119,Washington,WA,53,Douglas County,17,Microsoft,,Microsoft EAT02,246129.0,-120.20768784943974,47.416868024109554,building,246129.0,258730.8048,123028981.4981261
1071774674,Washington,WA,53,Douglas County,17,Sabey Data Centers,,Intergate Columbia D,135020.0,-120.19160109219082,47.40758548151772,building,135020.0,141933.024,67490515.46903041
1173537116,Washington,WA,53,Douglas County,17,Microsoft,,Microsoft EAT03,235418.0,-120.20770997491816,47.41832392189266,building,235418.0,247471.4016,117675027.18625538
1173537117,Washington,WA,53,Douglas County,17,Microsoft,,Microsoft EAT04,234834.0,-120.21382073657306,47.419636588714944,building,234834.0,246857.5008,117383111.46240771
1173822721,Washington,WA,53,Chelan County,7,,,EAT14,241836.0,-120.16009077106148,47.35949692084332,building,241836.0,254218.0032,120883101.01443075
1173822722,Washington,WA,53,Chelan County,7,,,EAT13,232237.0,-120.15997586326914,47.35842571835008,building,232237.0,244127.5344,116084986.23153025
1173822723,Washington,WA,53,Chelan County,7,,,EAT12,248918.0,-120.15954624801124,47.3574330116489,building,248918.0,261662.6016,124423079.02177536
1193914601,Washington,WA,53,Grant County,25,,,,280235.0,-119.81798352548935,47.24481075189648,building,280235.0,294583.032,140077059.71310723
1193914602,Washington,WA,53,Grant County,25,,,,147278.0,-119.81481251567008,47.24427568966153,building,147278.0,154818.6336,73617746.53568257
1343760339,Washington,WA,53,Grant County,25,,,Vantage WA13,252025.0,-119.81362252658953,47.25252755404145,building,252025.0,264928.68,125976130.655328
1343761104,Washington,WA,53,Grant County,25,,,,119147.0,-119.86905124992496,47.24364491383648,building,119147.0,125247.3264,59556306.077533446
1429883881,Washington,WA,53,Grant County,25,Microsoft,,Microsoft,143441.0,-119.88741175976487,47.23859240981344,building,143441.0,150785.1792,71699800.24732034
1470108469,Washington,WA,53,Grant County,25,,,,504350.0,-119.86320668797936,47.24017868896512,building,504350.0,530172.72,252102218.018112
680666647,Washington,WA,53,Pierce County,53,,,Centeris,1848925.0,-122.2796841184508,47.15959194833818,campus,1848925.0,1943589.96,924195684.443616
13527396782,Washington,WA,53,Snohomish County,61,,,,,-122.19153160000002,47.95874409999997,point,116828.0,122809.5936,58397140.72889856
